name,variable,Use_Case
adaqueen 0.1% gel,use0, Acne
altipod 200mg tablet,use0,Treatment of Bacterial infections
al 5mg tablet,use0,Treatment of Allergic conditions
adcyclo tablet,use0, Cancer
azilet 500mg tablet,use0,Treatment of Bacterial infections
ace 2.5mg tablet,use0,Treatment of Hypertension (high blood pressure)
airflow hd tablet,use0, Asthma
amlong ct tablet,use0, Hypertension (high blood pressure)
acipsor 10mg capsule,use0, Psoriasis
augmed dds oral suspension,use0,Treatment of Resistant Tuberculosis (TB)
acloboot 100mg tablet,use0, Pain relief
arofen plus gel,use0, Pain relief
aztor asp 150 capsule,use0,Treatment of Prevention of heart attack and stroke
aclofen mr tablet,use0,Treatment of Muscular pain
allerone syrup,use0,Treatment of Allergic conditions
acefast 100mg/15mg tablet,use0, Pain relief
atenopress at 5mg/50mg tablet,use0,Treatment of Hypertension (high blood pressure)
azimax xl 100mg/5ml dry syrup,use0,Treatment of Bacterial infections
acebloc p 100 mg/500 mg tablet,use0, Pain relief
atm xl 200mg/5ml syrup,use0,Treatment of Bacterial infections
aflox d eye drop,use0,Treatment of Bacterial eye infections
acegaba 400mg tablet,use0,Treatment of Neuropathic pain
amlovas s 2.5mg tablet,use0,Treatment of Hypertension (high blood pressure)
ambril syrup,use0,Treatment of Respiratory tract disorders associated with viscid mucus
afderm plus cream,use0, Skin infections
abnor capsule,use0,Treatment of Nutritional deficiencies
alkadip oral liquid,use0,Treatment of Gout
alerfri cc 2 mg/500 mg/10 mg tablet,use0,Treatment of Common cold
almetfor 500mg tablet,use0,Treatment of Type 2 diabetes mellitus
alfence tablet,use0, Obesity
asozyme syrup,use0, Fatty liver disease
amoxy bill-lb 625 tablet,use0, Bacterial infections
amizu 5mg tablet,use0,Treatment of Depression
abfol tablet,use0,Treatment of Nutritional deficiencies
acijen-sp tablet,use0, Pain relief
alpramed 0.25mg tablet,use0,Treatment of Anxiety
aldol tablet,use0, Pain relief
acemol sp 100mg/325mg/15mg tablet,use0, Pain relief
alervo m 5mg/10mg tablet,use0,Treatment of Sneezing and runny nose due to allergies
ampilox cv dds syrup,use0,Treatment of Resistant Tuberculosis (TB)
accetiz 100 mg/2 mg tablet,use0,Treatment of Pain due to muscle spasm
aeovit-q10 softgel capsule,use0, Nutritional deficiencies
anate 500 mg/125 mg tablet,use0,Treatment of Bacterial infections
aponerv + tablet,use0,Treatment of Neuropathic pain
apriset kit,use0, Nausea and vomiting due to chemotherapy
acepain sp tablet,use0, Pain relief
afanat 20 tablet,use0, Non-small cell lung cancer
alersin-total tablet sr,use0,Treatment of Respiratory tract disorders associated with viscid mucus
alcon oral drops,use0,Treatment of Common cold
acip-mr tablet,use0,Treatment of Muscular pain
advastat 20 tablet,use0,Treatment of High cholesterol
alidox lb 100mg tablet,use0,Treatment of Bacterial infections
aphexine o 200mg/200mg tablet,use0,Treatment of Bacterial infections
aceked-sp tablet,use0, Pain relief
acemiz plus oral suspension,use0,Treatment of Fever
atorsave ez 10 tablet,use0, High cholesterol
afenak plus mr tablet,use0,Treatment of Muscular pain
antagit ds oral gel,use0, Acidity
acidcure syrup,use0, Acidity
acelopara oral suspension,use0,Treatment of Fever
algat eye drop,use0, Bacterial eye infections
acelo 100mg tablet,use0, Pain relief
alcure fm 10mg/120mg tablet,use0,Treatment of Sneezing and runny nose due to allergies
agidol plus 1.5mg tablet,use0, Schizophrenia
azolam 0.5mg tablet,use0,Treatment of Anxiety
alorex cream,use0,Treatment of Burns
almocef 200mg tablet,use0,Treatment of Bacterial infections
amlopen 5mg tablet,use0,Treatment of Hypertension (high blood pressure)
algesia 200mg tablet sr,use0, Pain relief
acedol plus 100mg/325mg tablet,use0, Pain relief
azilura 40 tablet,use0, Hypertension (high blood pressure)
amijoy 50 tablet,use0, Schizophrenia
atrochlor d eye drop,use0,Treatment of Uveitis
aminodrip infusion,use0, Nutritional deficiencies
agmitra 200mg capsule,use0,Treatment of Fungal infections
alfaren 200mg tablet,use0,Treatment of Chronic kidney disease
azibact 500mg tablet,use0,Treatment of Bacterial infections
asomex-oh tablet,use0, Hypertension (high blood pressure)
aztrone 1gm injection,use0, Severe bacterial infections
alfagaba nt 300 mg/10 mg tablet,use0,Treatment of Neuropathic pain
apipro syrup,use0, Appetite stimulant
amitreat 10mg tablet,use0,Treatment of Depression
avocort 6mg tablet,use0,Treatment of Inflammatory conditions
alenost 70mg tablet,use0, Osteoporosis
aa 5 tablet,use0,Treatment of Allergic conditions
arifix 200mg tablet dt,use0,Treatment of Bacterial infections
aquashine 24 tablet,use0,Treatment of Vitamin D deficiency
allernec-lc tablet,use0,Treatment of Sneezing and runny nose due to allergies
almont fx 10mg/120mg tablet,use0,Treatment of Sneezing and runny nose due to allergies
azt 500 tablet,use0,Treatment of Bacterial infections
amidep 25mg tablet,use0,Treatment of Depression
acer p 100mg/325mg tablet,use0, Pain relief
albrim lst eye drop,use0,Treatment of Ocular hypertension
aldo 2.5mg tablet,use0,Treatment of Hypertension (high blood pressure)
aquamide 20 mg/50 mg tablet,use0,Treatment of Edema
ace 100mg tablet,use0, Pain relief
acenac plus 100mg/325mg tablet,use0, Pain relief
arcopan d 10mg/40mg tablet,use0,Treatment of Gastroesophageal reflux disease (Acid reflux)
asta 10mg tablet,use0, High cholesterol
anset 2mg injection,use0,Treatment of Nausea
almocef o 200 mg/200 mg tablet,use0,Treatment of Bacterial infections
arden mf oral suspension,use0, Pain relief
anavilda m500 tablet,use0,Treatment of Type 2 diabetes mellitus
allercet 5mg/5ml syrup,use0,Treatment of Allergic conditions
atrmin 250mg capsule,use0, Rheumatoid arthritis
acetal 100mg tablet,use0, Pain relief
agufast-cv 625 tablet,use0,Treatment of Bacterial infections
apriglim-mv 203 tablet sr,use0,Treatment of Type 2 diabetes mellitus
azo 500mg tablet,use0,Treatment of Bacterial infections
aclog-sp tablet,use0, Pain relief
aclopas tablet,use0, Pain relief
aziforce 500mg tablet,use0,Treatment of Bacterial infections
activa plus tablet,use0, Pain relief
adzutus d syrup,use0,Treatment of Dry cough
alercet l 5mg tablet,use0,Treatment of Allergic conditions
aceclobest sp 100mg/325mg/10mg tablet,use0, Pain relief
acerut p 100mg/500mg tablet,use0, Pain relief
ambcet 5 mg/60 mg tablet,use0,Treatment of Cough
angirex tablet,use0, Schizophrenia
amtiva at 5mg/50mg tablet,use0,Treatment of Hypertension (high blood pressure)
abmont lc 5mg/10mg tablet,use0,Treatment of Sneezing and runny nose due to allergies
almokast 5mg/10mg tablet,use0,Treatment of Sneezing and runny nose due to allergies
alwax ear drop,use0,Treatment of Ear infection
acceclowoc mr 100 mg/500 mg/250 mg tablet,use0,Treatment of Muscular pain
acidol p 100mg/500mg tablet,use0, Pain relief
akme clobetacon-gm skin cream,use0,Treatment of Skin infections
azam 500mg tablet,use0,Treatment of Bacterial infections
artagen 250mg tablet,use0, Pain relief
acefenac 100mg tablet,use0, Pain relief
anxifly tablet,use0,Treatment of Anxiety disorder
applevit pm 750mcg/75mg capsule,use0,Treatment of Neuropathic pain
alock e th 60mg/4mg tablet,use0,Treatment of Pain due to muscle spasm
angiflam sp 100mg/325mg/15mg tablet,use0, Pain relief
ambulax-hd tablet,use0, Anxiety disorder
abcobal od capsule,use0,Treatment of Vitamin & mineral deficiency
ark 100mg tablet sr,use0, Pain relief
ac tablet,use0, Bacterial infections
azito 200mg/5ml oral suspension,use0,Treatment of Bacterial infections
aclo 100mg tablet,use0, Pain relief
airmont lc 5mg/10mg tablet,use0,Treatment of Sneezing and runny nose due to allergies
artacil 50mg injection,use0, Skeletal muscle relaxation during surgery
aclonac-sp tablet,use0, Pain relief
acneris-nt gel,use0,Treatment of Acne
asvs injection,use0, Snake Bite
azonate cream,use0,Treatment of Allergic skin conditions
axicef 500mg tablet,use0,Treatment of Bacterial infections
anace-sp tablet,use0, Pain relief
ampine 5mg tablet,use0,Treatment of Hypertension (high blood pressure)
aprilia-d 10mg/40mg tablet,use0,Treatment of Gastroesophageal reflux disease (Acid reflux)
alphacin 500mg tablet,use0,Treatment of Bacterial infections
aceclan plus 100mg/500mg tablet,use0, Pain relief
asarab-dsr capsule,use0,Treatment of Gastroesophageal reflux disease (Acid reflux)
acemiz fast 100mg/4mg tablet,use0,Treatment of Pain due to muscle spasm
anzipan-dsr capsule,use0,Treatment of Gastroesophageal reflux disease (Acid reflux)
asonac 100mg tablet,use0, Pain relief
acytine tablet,use0,Treatment of Respiratory disease with excessive mucus
amcold syrup,use0,Treatment of Cough
actorise 100 injection,use0,Treatment of Anemia due to chronic kidney disease
amlodac-h tablet,use0, Hypertension (high blood pressure)
aritomycin 500mg tablet,use0,Treatment of Bacterial infections
acegesic 100 mg/325 mg tablet,use0, Pain relief
akurit z kid  tablet,use0, Tuberculosis (TB)
adylin-pgn tablet sr,use0,Treatment of Neuropathic pain
azilear 500mg tablet,use0,Treatment of Bacterial infections
acarcip 50 tablet,use0,Treatment of Type 2 diabetes mellitus
ancer lm tablet,use0,Treatment of Sneezing and runny nose due to allergies
alt-fm tablet,use0,Treatment of Sneezing and runny nose due to allergies
acarcip 25 tablet,use0,Treatment of Type 2 diabetes mellitus
agical-sg softgel capsule,use0, Vitamin & mineral deficiency
askof-ls syrup,use0,Treatment of Cough with mucus
androz 25mg tablet,use0,Treatment of Erectile dysfunction
alfolate 7.5 tablet,use0,Treatment of Nutritional deficiencies
anamol 170 mg suppository,use0, Pain relief
aziclass 100mg syrup,use0,Treatment of Bacterial infections
acecloflam 100 mg/325 mg/250 mg tablet,use0,Treatment of Muscular pain
amlod 5mg tablet,use0,Treatment of Hypertension (high blood pressure)
avanep eye drop,use0, Post-operative eye pain and inflammation
acdof 40mg injection,use0,Treatment of Heartburn
acecare-p tablet,use0, Pain relief
aceclowal mr 100mg/325mg/250mg tablet,use0,Treatment of Muscular pain
afogatran 75mg capsule,use0,Treatment and prevention of Blood clots
albamine 100mcg tablet,use0,Treatment of Hypertension (high blood pressure)
ahabir tablet,use0, Prostate cancer
aricof-d syrup,use0,Treatment of Dry cough
alerlife-m tablet,use0,Treatment of Sneezing and runny nose due to allergies
acmacal 333mg tablet,use0, Alcohol addiction
alporate syrup,use0,Treatment of Epilepsy/Seizures
arnac sp tablet,use0, Pain relief
acrimol tablet,use0, Pain relief
azicof syrup,use0,Treatment of Dry cough
alceff 500mg capsule,use0,Treatment of Bacterial infections
amlokem at 5 mg/50 mg tablet,use0,Treatment of Hypertension (high blood pressure)
acezit-p tablet,use0, Pain relief
alprax 1.5mg tablet sr,use0,Treatment of Anxiety
alcinac-pg forte tablet sr,use0,Treatment of Neuropathic pain
arigaba 300 tablet,use0,Treatment of Neuropathic pain
abituss dx syrup,use0,Treatment of Dry cough
atcor 20mg tablet,use0, High cholesterol
aroside d tablet,use0, Pain relief
ap-fast syrup,use0, Appetite stimulant
aroff plus tablet,use0, Pain relief
azivista 250mg tablet,use0,Treatment of Bacterial infections
acelera-sp tablet,use0, Pain relief
altrox 0.5mg tablet,use0,Treatment of Anxiety
albocef 250 tablet,use0,Treatment of Bacterial infections
azijet 500 tablet,use0,Treatment of Bacterial infections
acidip s syrup,use0,Treatment of Acidity
alora 0.5mg tablet,use0,Treatment of Anxiety
atorica 10 tablet,use0, High cholesterol
atril 10mg tablet,use0,Treatment of Depression
azarid 50mg tablet,use0, Prevention of organ rejection in transplant patients
astharid expectorant,use0, Cough
acsent forte tablet,use0, Pain relief
aziliz 500mg tablet,use0,Treatment of Bacterial infections
auffcef 500mg tablet,use0,Treatment of Bacterial infections
aristogyl suspension,use0,Treatment of Peptic ulcer disease
ambrolite s-sf syrup sugar free,use0, Cough
arthocare 250mg/200mg capsule,use0, Osteoarthritis
aclotil 75mg tablet,use0, Prevention of heart attack and stroke
azinet 500mg tablet,use0,Treatment of Bacterial infections
azincure 500 tablet,use0,Treatment of Bacterial infections
anafranil 10mg tablet,use0, Obsessive-compulsive disorder
atacurium 50mg injection,use0, Skeletal muscle relaxation during surgery
aldecef 200mg tablet,use0,Treatment of Bacterial infections
amital 10mg tablet,use0,Treatment of Depression
abura 500 tablet,use0, Prostate cancer
almitak 10mg tablet,use0,Treatment of Depression
aztric ct 12.5 tablet,use0, Hypertension (high blood pressure)
amlopen at 5 mg/50 mg tablet,use0,Treatment of Hypertension (high blood pressure)
alocet 5mg/5ml syrup,use0,Treatment of Allergic conditions
arimip 25mg tablet,use0, Obsessive-compulsive disorder
alerfri ds suspension,use0,Treatment of Common cold
allyzole-b cream,use0,Treatment of Fungal skin infections
alinfec 500mg injection,use0, Bacterial infections
acbc-n tablet,use0,Treatment of Chronic obstructive pulmonary disease (COPD)
actizer syrup,use0, Appetite stimulant
alleviate tablet,use0, Pain relief
altime cf jr syrup,use0, Cough with mucus
aclopride sp 100 mg/500 mg/15 mg tablet,use0, Pain relief
atorica 80mg tablet,use0, High cholesterol
acifact sp tablet,use0, Pain relief
azysafe 100mg/5ml syrup,use0,Treatment of Bacterial infections
aritop ms aqeous gel,use0,Treatment of Acne
astodol-sp tablet,use0, Pain relief
atarise 10mg tablet,use0,Treatment of Anxiety
alnex nt 75mg/10mg tablet,use0,Treatment of Neuropathic pain
advacan 0.25mg tablet,use0, Prevention of organ rejection in transplant patients
alerfri oral drops,use0,Treatment of Common cold
anto 40mg tablet,use0,Treatment of Heartburn
alphaday tablet,use0,Treatment of Chronic kidney disease
ameto-g2 tablet pr,use0,Treatment of Type 2 diabetes mellitus
aceclobest plus 100mg/325mg tablet,use0, Pain relief
atpark 25 tablet,use0,Treatment of Hypertension (high blood pressure)
acugesic 50mg injection,use0, Moderate to severe pain
audisol ear drop,use0,Treatment of Ear infection
amolax capsule,use0, Bacterial infections
aciven p 100mg/325mg tablet,use0, Pain relief
ambrovin ls syrup,use0,Treatment of Cough with mucus
aceglow p 100mg/325mg tablet,use0, Pain relief
advin tablet,use0, Moderate to severe pain
akroz tablet,use0,Treatment of High cholesterol
alpra 0.5mg tablet,use0,Treatment of Anxiety
af luli cream,use0,Treatment of Fungal skin infections
adfovir 10mg tablet,use0, Chronic hepatitis B virus (HBV) infection
alex+ syrup sugar free,use0, Dry cough
azicare 250mg tablet,use0,Treatment of Bacterial infections
ablif lb 200mg tablet,use0, Bacterial infections
admoxy cv 625 tablet,use0,Treatment of Bacterial infections
aprezine 25mg tablet,use0, Hypertension (high blood pressure)
aliclair 500mg tablet,use0,Treatment of Bacterial infections
amlodepin  tablet 5 mg,use0,Treatment of Hypertension (high blood pressure)
albefate 1000mg oral suspension,use0,Treatment of Intestinal ulcers
admol 250 dt tablet,use0, Pain relief
azileb 200mg/5ml suspension,use0,Treatment of Bacterial infections
acefen 100 mg/125 mg tablet,use0, Pain relief
adniva 400 tablet,use0,Treatment of Liver disease
alcipro 250mg tablet,use0,Treatment of Bacterial infections
am dopa 250mg tablet,use0, Hypertension (high blood pressure)
altime ls syrup,use0,Treatment of Cough with mucus
alercid m tablet,use0,Treatment of Sneezing and runny nose due to allergies
alkepin odt 200 tablet,use0, Schizophrenia
azitus 250mg tablet,use0,Treatment of Bacterial infections
aravon tablet,use0, Amyotrophic lateral sclerosis (ALS)
alka c syrup,use0,Treatment of Gout
arkocet 5 tablet,use0,Treatment of Allergic conditions
alfasteril tablet,use0,Treatment of Chronic kidney disease
anxisure 0.5mg/10mg tablet,use0,Treatment of Depression
azispan 500mg tablet,use0,Treatment of Bacterial infections
af-ter lotion,use0, Fungal skin infections
azibact l 500 mg/500 mg tablet,use0, Bacterial infections
axocilin cv 625 tablet,use0,Treatment of Bacterial infections
abicet-m tablet,use0,Treatment of Sneezing and runny nose due to allergies
atorastin 20mg tablet,use0, High cholesterol
azro 250mg tablet,use0,Treatment of Bacterial infections
adglim m 1mg/500mg tablet,use0,Treatment of Type 2 diabetes mellitus
amoline-at tablet,use0,Treatment of Hypertension (high blood pressure)
albicet m 5mg/10mg tablet,use0,Treatment of Sneezing and runny nose due to allergies
apimax syrup,use0, Appetite stimulant
amokav duo dry syrup,use0,Treatment of Resistant Tuberculosis (TB)
atoder 10mg tablet,use0, High cholesterol
amcet 5mg tablet,use0,Treatment of Allergic conditions
aten am 5 mg/25 mg tablet,use0,Treatment of Hypertension (high blood pressure)
anaflam p 100 mg/125 mg suspension,use0, Pain relief
alphacept 4 tablet,use0,Treatment of Benign prostatic hyperplasia
adraclor injection,use0, Severe allergic reactions
ac sera 100 mg/325 mg/15 mg tablet,use0, Pain relief
apel g 2 mg/275 mg syrup,use0, Appetite stimulant
arpan 40mg tablet,use0,Treatment of Heartburn
anleo-d tablet,use0,Treatment of Gastroesophageal reflux disease (Acid reflux)
azukon tablet,use0,Treatment of Type 2 diabetes mellitus
amlode 5 tablet,use0,Treatment of Hypertension (high blood pressure)
arvast-a 150 capsule,use0,Treatment of Prevention of heart attack and stroke
aminophylin injection,use0,Treatment of Chronic obstructive pulmonary disease (COPD)
azitec 500mg tablet,use0,Treatment of Bacterial infections
aclizac 75mg tablet,use0, Prevention of heart attack and stroke
artisun 150mg injection,use0, Malaria
anxiwill 0.5mg tablet,use0,Treatment of Anxiety disorder
anxifree-p tablet cr,use0,Treatment of Depression
aztec 500mg tablet,use0,Treatment of Bacterial infections
aboros 20mg tablet,use0,Treatment of High cholesterol
amodip-at tablet,use0,Treatment of Hypertension (high blood pressure)
anafast sp 100mg/500mg/15mg tablet,use0, Pain relief
amopress 5mg tablet,use0,Treatment of Hypertension (high blood pressure)
azicef-lb tablet,use0,Treatment of Bacterial infections
axl 500 capsule,use0,Treatment of Bacterial infections
atovas 20mg tablet,use0, High cholesterol
axonorm p 750mcg/75mg capsule,use0,Treatment of Neuropathic pain
azelac lotion,use0, Acne
abituss-ls syrup,use0,Treatment of Cough with mucus
acenomac 3mg tablet,use0,Treatment and prevention of Blood clots
atorfit 5mg tablet,use0, High cholesterol
apriglim-m 2 tablet pr,use0,Treatment of Type 2 diabetes mellitus
alpaz 0.5mg tablet,use0,Treatment of Anxiety
albendol 400mg tablet,use0,Treatment of Parasitic infections
aester-sp tablet,use0, Pain relief
arocort 6mg tablet,use0,Treatment of Inflammatory conditions
aspa 500mg/250mg tablet,use0,Treatment of Pain due to muscle spasm
asprox-sp tablet,use0, Pain relief
astawin 10mg tablet,use0,Treatment of Depression
and 25mg injection,use0,Treatment of Post menopausal osteoporosis
avonex 30 mcg injection,use0, Multiple sclerosis (MS)
augpen lb 375 mg tablet,use0, Bacterial infections
azobat 3 kit,use0, Syndromic treatment of vaginal discharge
ann 40mg tablet,use0,Treatment of Heartburn
arsufee kit 100mg/500mg/25mg kit,use0,Treatment of Malaria
alcaine mps  suspension 540 mg/50 mg/10 mg,use0,Treatment of Acidity
allermet 120mg tablet,use0,Treatment of Sneezing and runny nose due to allergies
ace-coxib 90 tablet,use0, Pain relief
alketo tablet,use0,Treatment of Chronic kidney disease
a rex 25mg tablet,use0,Treatment of Anxiety
aig d 10mg/20mg capsule,use0,Treatment of Gastroesophageal reflux disease (Acid reflux)
aprazol 0.5mg tablet,use0,Treatment of Gastroesophageal reflux disease (Acid reflux)
apetite syrup,use0, Appetite stimulant
arpimune me oral solution,use0, Prevention of organ rejection in transplant patients
aldemox-lb tablet,use0, Bacterial infections
atorem 10mg tablet,use0, High cholesterol
artrodar 50mg capsule,use0, Osteoarthritis
acemed p 100mg/325mg tablet,use0, Pain relief
askoff d syrup,use0, Dry cough
alphadopa 500 tablet,use0, Hypertension (high blood pressure)
azam 250mg tablet,use0,Treatment of Bacterial infections
abixim cv 200mg/125mg tablet,use0,Treatment of Bacterial infections
agro 150mg tablet,use0,Treatment of Fungal infections
aurocort 40mg injection,use0, Severe allergic reactions
abmetop 25 xl tablet,use0,Treatment of Hypertension (high blood pressure)
agonil 5mg tablet,use0,Treatment of Allergic conditions
axe 500mg tablet,use0,Treatment of Bacterial infections
aziter 500mg tablet,use0,Treatment of Bacterial infections
anidulan injection,use0, Severe fungal infections
amalzol-dsr capsule,use0,Treatment of Gastroesophageal reflux disease (Acid reflux)
aerocort 100mcg/50mcg inhaler,use0, Asthma
amocop cream,use0,Treatment of Fungal infections
amitrip 25mg tablet,use0,Treatment of Depression
aceliv-plus tablet,use0, Pain relief
actamid 250mg tablet,use0, Glaucoma
arvast f 5 tablet,use0,Treatment of High cholesterol
asmaril syrup,use0,Treatment of Cough
albend 400mg tablet,use0,Treatment of Parasitic infections
azinix 250mg tablet,use0,Treatment of Bacterial infections
aprenext 30mg tablet,use0, Plaque psoriasis
alastin ag syrup,use0, Cough with mucus
aldryl soft gelatin capsule,use0,Treatment of Nasal allergy symptoms
anbid 500 tablet,use0,Treatment of Bacterial infections
admark gel,use0, Acne
aprin 50mg tablet,use0, Prevention of organ rejection in transplant patients
amp-taj 1000mg injection,use0, Bacterial infections
actowin 0.05% nasal drops,use0,Treatment of Nasal congestion (blocked nose)
addtim injection,use0, Nutritional deficiencies
acronite 50 tablet,use0, Narcolepsy (Uncontrollable daytime sleepiness)
akukold tablet,use0,Treatment of Common cold
apxaban 2.5 tablet,use0,Treatment and prevention of Blood clots
acebronk 200mg tablet sr,use0, Chronic obstructive pulmonary disease (COPD)
abd 200mg suspension,use0,Treatment of Parasitic infections
accept-xl tablet,use0, Arthralgia (joint pain)
aztre 1gm injection,use0, Severe bacterial infections
actlin 100mg tablet,use0,Treatment of Functional dyspepsia
argitrust sachet orange sugar free,use0, Nutritional deficiencies
alporate d 250mg tablet,use0,Treatment of Epilepsy/Seizures
aziford 200 oral suspension,use0,Treatment of Bacterial infections
azirox 250mg tablet,use0,Treatment of Bacterial infections
almag o oral gel,use0,Treatment of Acidity
axtum 500mg tablet,use0,Treatment of Bacterial infections
alcysta 500mg/150mg tablet,use0,Treatment of Diabetic kidney disease
ambrotus c syrup,use0,Treatment of Cough
anxicalm 0.5mg tablet,use0,Treatment of Anxiety
allyzole cream,use0, Fungal skin infections
alicon 150mg tablet,use0,Treatment of Fungal infections
azizoom 500mg tablet,use0,Treatment of Bacterial infections
anocream cream,use0,Treatment of Piles
anadecon tablet,use0,Treatment of Common cold
alonac tc 100mg/4mg tablet,use0,Treatment of Pain due to muscle spasm
azimol 500 tablet,use0,Treatment of Bacterial infections
apolar nt 75 tablet,use0,Treatment of Neuropathic pain
aedi-glim m2 tablet sr,use0,Treatment of Type 2 diabetes mellitus
aropax 12.5mg tablet pr,use0,Treatment of Depression
arotex 25mg tablet,use0,Treatment of Anxiety
acelera-p tablet,use0, Pain relief
acilex-p 100mg/325mg tablet,use0, Pain relief
acnac-mr tablet,use0,Treatment of Muscular pain
amazil 10mg tablet,use0, Alzheimer's disease
autoclave lb 500mg/125mg tablet,use0, Bacterial infections
atosky 10mg tablet,use0, High cholesterol
almazine 2.5mg tablet,use0,Treatment of Short term anxiety
anacort 1% cream,use0,Treatment of Eczema
acitak 150 mg tablet,use0, Heartburn
alkem plus syrup,use0,Treatment of Common cold
az 250mg tablet,use0,Treatment of Bacterial infections
amis 200mg tablet,use0, Schizophrenia
ancef 500 tablet,use0,Treatment of Bacterial infections
alten a 10 capsule,use0,Treatment of Prevention of heart attack and stroke
a clo sp tablet,use0, Pain relief
aply gel,use0,Treatment of Mouth infection
amp 100mg tablet,use0, Schizophrenia
anglopar 500mg tablet,use0, Pain relief
alscab soap,use0, Scabies
aprovel 150mg tablet,use0, Hypertension (high blood pressure)
acyclopure p tablet,use0, Pain relief
azro 100mg oral suspension,use0,Treatment of Bacterial infections
aclotol p tablet,use0, Pain relief
aroxime 500mg tablet,use0,Treatment of Bacterial infections
absopan 40mg tablet,use0,Treatment of Heartburn
abwal 400mg tablet,use0,Treatment of Parasitic infections
adbpo gel,use0, Acne
androz 50mg tablet,use0,Treatment of Erectile dysfunction
abirapro 500mg tablet,use0, Prostate cancer
azirab-dsr 30mg/20mg capsule,use0,Treatment of Gastroesophageal reflux disease (Acid reflux)
adrex syrup,use0,Treatment of Dry cough
alcoxib 90mg tablet,use0, Pain relief
acno(intas) cream,use0,Treatment of Acne
alto 3d tablet,use0, Pain relief
ac 625 tablet,use0,Treatment of Bacterial infections
amoxilin cv 500mg/125mg tablet,use0,Treatment of Bacterial infections
azuvas 10-gold capsule,use0, Heart attack
amitar plus tablet,use0,Treatment of Depression
ambtic cough syrup,use0,Treatment of Cough with mucus
averzine 25mg syrup,use0,Treatment of Anxiety
azomarc 500mg tablet,use0,Treatment of Bacterial infections
ariderm cream,use0,Treatment of Skin infections
anxicure 0.5mg tablet,use0,Treatment of Anxiety disorder
azitheo 500 tablet,use0,Treatment of Bacterial infections
alvocet m 5mg/10mg tablet,use0,Treatment of Sneezing and runny nose due to allergies
auriase m 5mg/10mg tablet,use0, Sneezing and runny nose due to allergies
arasid 100mg injection,use0, Blood cancer
alpanol 0.25 mg/20 mg tablet,use0, Anxiety disorder
acarboz 50mg tablet,use0,Treatment of Type 2 diabetes mellitus
alercid total 75mg/5mg/10mg tablet,use0,Treatment of Respiratory tract disorders associated with viscid mucus
aceford max tablet,use0,Treatment of Muscular pain
aps super plus tablet,use0, Pain relief
almax 0.25mg tablet,use0,Treatment of Anxiety
aerocast l 5mg/10mg tablet,use0,Treatment of Sneezing and runny nose due to allergies
alfex 180mg tablet,use0,Treatment of Sneezing and runny nose due to allergies
airwin-bf 200 capsule,use0,Treatment of Chronic obstructive pulmonary disease (COPD)
azovas t 80 tablet,use0,Treatment of Hypertension (high blood pressure)
amoxinic-cv 625 tablet,use0,Treatment of Bacterial infections
aroxim 200mg tablet,use0,Treatment of Bacterial infections
avopact-s tablet,use0, Pain relief
alpus ls syrup,use0, Chronic obstructive pulmonary disease (COPD)
acuclav kid tablet,use0,Treatment of Resistance Tuberculosis (TB)
aceto plus  100 mg/500 mg tablet,use0, Pain relief
acnerus bpo cream,use0, Acne
apicare syrup,use0, Appetite stimulant
acronil 100mg capsule,use0, Pain relief
amlostar a tablet,use0,Treatment of Hypertension (high blood pressure)
acicheck d capsule sr,use0,Treatment of Gastroesophageal reflux disease (Acid reflux)
amoxicla 500mg/125mg tablet,use0,Treatment of Bacterial infections
aztinam 1gm injection,use0, Severe bacterial infections
alten 20mg tablet,use0, High cholesterol
amox cv 500mg/125mg tablet,use0,Treatment of Bacterial infections
aclolab-mr tablet,use0,Treatment of Muscular pain
alprawin 0.5mg tablet,use0,Treatment of Anxiety
anxit 1mg tablet,use0,Treatment of Anxiety
acebrofact-m tablet sr,use0,Treatment and prevention of Chronic obstructive pulmonary disease (COPD)
actopan d 30mg/40mg capsule sr,use0,Treatment of Gastroesophageal reflux disease (Acid reflux)
ab-rozu 10 tablet,use0,Treatment of High cholesterol
abitol syrup,use0,Treatment of Allergic conditions
amaday 10mg tablet,use0,Treatment of Hypertension (high blood pressure)
antab tablet,use0,Treatment of Overactive bladder (OAB) symptoms
above 5 tablet,use0, Gastroesophageal reflux disease (Acid reflux)
acepar plus tablet,use0, Pain relief
ampilin 250mg tablet,use0, Bacterial infections
atorvafine tg 10mg/160mg tablet,use0,Treatment of High cholesterol
arokast l 5mg/10mg tablet,use0,Treatment of Sneezing and runny nose due to allergies
acephar p 100mg/325mg tablet,use0, Pain relief
anxifit am 50mg/10mg tablet,use0,Treatment of Depression
artheal 750mg/50mg/250mg tablet,use0, Osteoarthritis
azital 500mg tablet,use0,Treatment of Bacterial infections
aconex p 100mg/325mg tablet,use0, Pain relief
acebot-sp tablet,use0, Pain relief
anticold oral drops,use0,Treatment of Common cold
accept-sp tablet,use0, Pain relief
actamide 250mg tablet,use0, Glaucoma
accufine 10mg softgel capsule,use0,Treatment of Acne
aeocal max softgel capsule,use0, Nutritional deficiencies
aztric 80 tablet,use0, Hypertension (high blood pressure)
acnex 10mg capsule,use0,Treatment of Acne
avgesic-sp tablet,use0, Pain relief
amul 100mg tablet,use0, Schizophrenia
allerone-m oral suspension,use0,Treatment of Sneezing and runny nose due to allergies
